Year,Dataset,Sample Name,Short Name,Sample Type
2022,Data,/Tau/Run2022C-22Sep2023-v1/NANOAOD,TauC,Data
2022,Data,/Tau/Run2022D-22Sep2023-v1/NANOAOD,TauD,Data
2022,Data,/Tau/Run2022E-22Sep2023-v1/NANOAOD,TauE,Data
2022,Data,/Tau/Run2022F-22Sep2023-v1/NANOAOD,TauF,Data
2022,Data,/Tau/Run2022G-22Sep2023-v1/NANOAOD,TauG,Data
2023,2022C,/Tau/Run2022C-22Sep2023-v1/NANOAOD,TauC,Data
2023,2022D,/Tau/Run2022D-22Sep2023-v1/NANOAOD,TauD,Data
2023,2022E,/Tau/Run2022E-22Sep2023-v1/NANOAOD,TauE,Data
2023,2022F,/Tau/Run2022F-22Sep2023-v1/NANOAOD,TauF,Data
2023,2022G,/Tau/Run2022G-22Sep2023-v1/NANOAOD,TauG,Data
